feature,feature_type,missing_pct_train,n_unique_train,association_metric,association_value,abs_association,p_value,n_train_non_null
kiq026___ever_had_kidney_stones?,categorical,6.44,3,cramers_v,0.08086899946018922,0.08086899946018922,1.2466139725628484e-08,5566
mcq160d___ever_told_you_had_angina,categorical,6.44,3,cramers_v,0.08059654018390074,0.08059654018390074,1.408975679512925e-08,5566
mcq053___taking_treatment_for_anemia/past_3_mos,categorical,0.0,3,cramers_v,0.07964162038194145,0.07964162038194145,6.402213769485815e-09,5949
mcq371d___doing_reducing_fat_in_diet,categorical,0.0,4,cramers_v,0.07423334633501712,0.07423334633501712,3.57948717873564e-07,5949
paq670___days_moderate_recreational_activities,categorical,57.35,8,cramers_v,0.06805535020919784,0.06805535020919784,0.10907898973004763,2537
mcq371c___doing_reducing_salt,categorical,0.0,3,cramers_v,0.05734743333815148,0.05734743333815148,5.644060201344705e-05,5949
alq121___past_12_mo_how_often_drink_alcoholic_bev,numeric,21.36,13,pointbiserial,-0.05553859633587685,0.05553859633587685,0.00014438641232312853,4678
paq620___moderate_work_activity,categorical,0.0,3,cramers_v,0.04704929714370023,0.04704929714370023,0.0013816713935473055,5949
paq635___walk_or_bicycle,categorical,0.0,3,cramers_v,0.04220339826413148,0.04220339826413148,0.0050017784435306255,5949
paq605___vigorous_work_activity,categorical,0.0,4,cramers_v,0.03592415497732087,0.03592415497732087,0.053170052536889965,5949
mcq371b___doing_increasing_exercise,categorical,0.0,3,cramers_v,0.029944247310721678,0.029944247310721678,0.06945271877162822,5949
sld012___sleep_hours___weekdays_or_workdays,numeric,0.76,24,pointbiserial,-0.02932336188688372,0.02932336188688372,0.024250263621315684,5904
alq170___past_30_days_#_times_4_5_drinks_on_an_oc,numeric,35.35,21,pointbiserial,0.020462503795334208,0.020462503795334208,0.20453896459215884,3846
paq665___moderate_recreational_activities,categorical,0.0,2,cramers_v,0.01610047440280791,0.01610047440280791,0.21430086381247154,5949
alq142___#_days_have_4_or_5_drinks/past_12_mos,numeric,34.73,13,pointbiserial,-0.012415752558996414,0.012415752558996414,0.43925464558565785,3883
alq130___avg_#_alcoholic_drinks/day___past_12_mos,numeric,34.73,15,pointbiserial,0.009318873789631114,0.009318873789631114,0.5615644376941041,3883
