feature,feature_type,missing_pct_train,n_unique_train,association_metric,association_value,abs_association,p_value,n_train_non_null,importance_mean,importance_std,missing_pct,n_unique
"whq040___like_to_weigh_more,_less_or_same",categorical,0.0,4,cramers_v,0.10212515186763688,0.10212515186763688,2.148577199770201e-13,5949,0.016255327829577712,0.007603860387145507,0.0,4
mcq300c___close_relative_had_diabetes,categorical,6.35,3,cramers_v,0.07941824059931567,0.07941824059931567,2.343900771607078e-08,5571,0.012247623605162463,0.012377270761029312,6.2,3
slq030___how_often_do_you_snore?,categorical,0.0,6,cramers_v,0.09115471717286047,0.09115471717286047,1.8114545477719022e-09,5949,0.008528837091083081,0.009650059393485316,0.0,6
paq650___vigorous_recreational_activities,categorical,0.0,2,cramers_v,0.03963235519171536,0.03963235519171536,0.002236880602384656,5949,0.007428825802178704,0.0036291148203162,0.0,2
cos_weekday_bedtime,numeric,1.36,58,pointbiserial,0.012238461677510422,0.012238461677510422,0.34858539660756305,5868,0.0027486221871836193,0.00348469874358902,1.29,59
sleep_hours_weekend,numeric,0.91,24,pointbiserial,-0.016075500698595858,0.016075500698595858,0.21717409879716834,5895,-0.01101046835568685,0.006168437407341928,0.86,24
