run,model,roc_auc,avg_precision,precision,recall,f1,n_features
set1_all_questionnaire,logreg,0.7038156978767839,0.18241391991655903,0.16135458167330677,0.5955882352941176,0.25391849529780564,69
set2_prediabetes_focused,logreg_prediabetes_focused,0.6670346762965541,0.1548348195035401,0.1410459587955626,0.6544117647058824,0.2320730117340287,22
set3_final_quiz_6_features,logreg_final_quiz,0.6542975548207449,0.14737313928131693,0.1276595744680851,0.6617647058823529,0.2140309155766944,6
