threshold,precision,recall,f1,positives_predicted
0.5,0.1276595744680851,0.6617647058823529,0.2140309155766944,705
0.4,0.11350293542074363,0.8529411764705882,0.2003454231433506,1022
0.35,0.10806174957118353,0.9264705882352942,0.1935483870967742,1166
0.3,0.10248198558847077,0.9411764705882353,0.18483754512635378,1249
0.25,0.0976882923191648,0.9632352941176471,0.17738659444820581,1341
0.2,0.09588068181818182,0.9926470588235294,0.17487046632124353,1408
0.15,0.09327846364883402,1.0,0.17063989962358847,1458
