feature,feature_type,missing_pct_train,n_unique_train,association_metric,association_value,abs_association,p_value,n_train_non_null
sld012___sleep_hours___weekdays_or_workdays,numeric,0.71,24,pointbiserial,-0.02959118277498331,0.02959118277498331,0.02294756355953875,5907
mcq160c___ever_told_you_had_coronary_heart_disease,categorical,6.35,3,cramers_v,0.026846367423795252,0.026846367423795252,0.1343124744437883,5571
alq170___past_30_days_#_times_4_5_drinks_on_an_oc,numeric,35.38,22,pointbiserial,-0.025930733342185507,0.025930733342185507,0.10795506131751384,3844
huq090___seen_mental_health_professional/past_yr,categorical,0.0,3,cramers_v,0.02177700257793095,0.02177700257793095,0.24399184926829595,5949
huq071___overnight_hospital_patient_in_last_year,categorical,0.0,3,cramers_v,0.02151760323284333,0.02151760323284333,0.2522801602924741,5949
paq665___moderate_recreational_activities,categorical,0.0,2,cramers_v,0.02124264372908955,0.02124264372908955,0.10132993457102973,5949
kiq046___leak_urine_during_nonphysical_activities,categorical,18.15,4,cramers_v,0.020730907768306946,0.020730907768306946,0.5534208626220669,4869
paq605___vigorous_work_activity,categorical,0.0,4,cramers_v,0.018275026269579456,0.018275026269579456,0.5751453684669201,5949
mcq160b___ever_told_you_had_congestive_heart_failure,categorical,6.35,3,cramers_v,0.01793972714810485,0.01793972714810485,0.4080081708568787,5571
sld013___sleep_hours___weekends,numeric,0.91,24,pointbiserial,-0.016075500698595858,0.016075500698595858,0.21717409879716834,5895
smq020___smoked_at_least_100_cigarettes_in_life,categorical,0.0,4,cramers_v,0.01579594760642469,0.01579594760642469,0.6858877981132401,5949
alq121___past_12_mo_how_often_drink_alcoholic_bev,numeric,21.67,13,pointbiserial,-0.014974781905753307,0.014974781905753307,0.3067693249571134,4660
alq151___ever_have_4/5_or_more_drinks_every_day?,categorical,21.68,3,cramers_v,0.014663316829164094,0.014663316829164094,0.6060017177309096,4659
alq130___avg_#_alcoholic_drinks/day___past_12_mos,numeric,34.95,15,pointbiserial,-0.014431975426044507,0.014431975426044507,0.36942009485453453,3870
mcq300a___close_relative_had_heart_attack,categorical,6.35,3,cramers_v,0.013974167833082472,0.013974167833082472,0.580453778427279,5571
mcq300b___close_relative_had_asthma,categorical,0.0,3,cramers_v,0.011860755034084293,0.011860755034084293,0.6580691556343135,5949
mcq010___ever_been_told_you_have_asthma,categorical,0.0,3,cramers_v,0.011152459935611335,0.011152459935611335,0.6907616392901693,5949
kiq022___ever_told_you_had_weak/failing_kidneys?,categorical,6.35,3,cramers_v,0.01094670085891221,0.01094670085891221,0.7162061830090412,5571
paq620___moderate_work_activity,categorical,0.0,3,cramers_v,0.010890212879944332,0.010890212879944332,0.7027416206462589,5949
alq142___#_days_have_4_or_5_drinks/past_12_mos,numeric,34.95,12,pointbiserial,-0.009302601920043911,0.009302601920043911,0.5629035514345817,3870
alq111___ever_had_a_drink_of_any_kind_of_alcohol,categorical,12.61,2,cramers_v,0.004128591824608237,0.004128591824608237,0.7659410264457215,5199
rhq010___age_when_first_menstrual_period_occurred,numeric,54.78,17,pointbiserial,-0.0037657959561208784,0.0037657959561208784,0.8452178172262371,2690
mcq160d___ever_told_you_had_angina,categorical,6.35,3,cramers_v,0.0028742578383927526,0.0028742578383927526,0.9772507439430463,5571
