model,auc,auprc,best_threshold,best_precision,best_recall,best_f1
lr,0.6734108382785914,0.4268215476424392,0.5,0.4097155640779802,0.6133971291866028,0.49128185476144853
rf_cal,0.7043574492813073,0.4715307572556068,0.25,0.39327521793275216,0.7555023923444976,0.5172809172809172
