column,action,count_abs_gt_8,count_abs_gt_12,min,q01,median,q99,max
URXUIO_iodine_urine_ug_l,zscore_normalize,6,1,-0.8445888502859475,-0.7699639141728791,-0.2255797345624348,4.857503733143315,14.325538249628512
URXUPB_lead_urine_ug_l,zscore_normalize,6,1,-1.142047891331645,-1.0267275979981438,-0.2150666658028089,3.725447247018097,15.54396468440514
LBDTFRSI_transferrin_receptor_nmol_l,zscore_normalize,5,1,-0.941071034450478,-0.7676541666013944,-0.2525875167994353,4.432621766070536,12.991557575757795
LBDTRSI_triglyceride_mmol_l,zscore_normalize,5,1,-1.389141808085977,-1.1163361661041695,-0.2474162374909038,3.8195675634975905,12.935545147020804
LBXEOPCT_eosinophils_percent,zscore_normalize,5,1,-1.4403285140615565,-1.19355312649752,-0.2506876332848876,3.610481409861096,12.348159665841017
LBXHCOT_hydroxycotinine_serum_ng_ml,zscore_normalize,5,1,-0.5578586500349191,-0.5578586500349191,-0.3552881390645047,4.138181925755684,14.244894235617686
LBXNFOA_n_perfluorooctanoic_acid_ng_ml,zscore_normalize,5,1,-1.669561372592932,-1.1962212473459422,-0.197927272677022,3.9958118166950065,13.761920571219214
LBXTFR_transferrin_receptor_mg_l,zscore_normalize,5,1,-0.9401002427244572,-0.7675260862727531,-0.2522889852385657,4.434292099437154,12.995245152977231
LBXVCM_blood_dibromochloromethane_ng_ml,zscore_normalize,5,1,-0.2745552273005416,-0.2745552273005416,-0.2517536843158203,5.02746805532697,14.538232453022555
SSMMAC_n_acetyl_s_methyl_l_cysteine_ng_ml,zscore_normalize,5,1,-0.7524938886992546,-0.7524938886992546,-0.25971257565587624,4.019388093984798,13.423581897981286
URXMAD_mandelic_acid_ng_ml,zscore_normalize,5,1,-1.1022159348787763,-0.959062785397747,-0.2365492771038167,3.7302598451195883,12.980855852956044
did341___past_year_times_dr_check_feet_for_sores,zscore_normalize,5,1,-1.224744871391589,-0.91364955501897,-0.1224159659896295,4.946082765418478,12.529766912471056
pad645___minutes_walk/bicycle_for_transportation,zscore_normalize,5,1,-0.7166523766117424,-0.7166523766117424,-0.1520586403692141,4.670449506853161,12.848169372138514
transferrin_receptor_mg_l,zscore_normalize,5,1,-0.9401002427244572,-0.7675260862727531,-0.2522889852385657,4.434292099437154,12.995245152977231
LBXRDW_red_cell_distribution_width,zscore_normalize,4,1,-2.1440330117254964,-1.400750137243679,-0.228379231435511,3.8003499998860697,12.294529113096887
LBXSHBG_shbg_nmol_l,zscore_normalize,4,1,-1.9452411063927608,-1.325296212668718,-0.24248424235842658,3.56295620566266,14.551787285253472
LBXSLDSI_lactate_dehydrogenase_ldh_iu_l,zscore_normalize,4,1,-3.4902510780266325,-1.7947863493275893,-0.12895443221896954,3.158254976774594,14.355829525454828
URXCYHA_cyha_cysteine_ng_ml,zscore_normalize,4,1,-0.4690719492282016,-0.4690719492282016,-0.3124537115573995,4.593007094316952,12.215347180149813
URXCYM_n_acetyl_s_2_cyanoethyl_l_cyst_ng_ml,zscore_normalize,4,1,-0.5168572936782941,-0.5157640961212095,-0.3767668161308007,4.241442530451629,13.920752290509087
URXUCO_cobalt_urine_ug_l,zscore_normalize,4,1,-1.22207682001886,-1.0137055119955662,-0.2078841555189944,4.260998279192051,12.091106259927528
URXUDMA_urinary_dimethylarsinic_acid_ug_l,zscore_normalize,4,1,-0.8196619305195844,-0.8196619305195844,-0.27943890199074417,4.454170208318145,12.684356191811965
LBXTR_triglyceride_mg_dl,reference_normalize,3,1,-0.9333333333333332,-0.8333333333333334,-0.4333333333333333,1.5871999999999873,16.893333333333334
URXAAM_n_ace_s_2_carbamoylethyl_l_cys_ng_ml,zscore_normalize,3,1,-0.886809554084438,-0.775752548974357,-0.2987474483837042,4.156303699278629,14.605199238837937
did260___how_often_check_blood_for_glucose/sugar,zscore_normalize,3,1,-1.414213562373095,-1.1307312318891618,-0.0916735750670078,3.427983473232928,12.523268839989893
triglycerides_mg_dl,reference_normalize,3,1,-0.9333333333333332,-0.8333333333333334,-0.4333333333333333,1.5871999999999873,16.893333333333334
LBDLYMNO_lymphocyte_number_1000_cells_ul,zscore_normalize,2,1,-3.205571739714283,-1.8110872126606556,-0.1548279547061183,2.947477204359184,12.728798527113378
URXGAM_n_ac_s_2_carbmo_2_hydxel_l_cys_ng_ml,zscore_normalize,2,1,-0.5843001100335775,-0.5843001100335775,-0.3789984552330469,4.154886949708124,12.993909320769326
pad660___minutes_vigorous_recreational_activities,zscore_normalize,2,1,-1.524206403706276,-1.2508800837136422,-0.1370329360176295,3.4097112773470917,15.479121828362796
LBDIRNSI_iron_frozen_serum_umol_l,zscore_normalize,1,1,-2.328784090565315,-1.69456730821553,-0.1409529942529343,2.986946130417978,12.069294632427956
URXSCN_thiocyanate_urine_ng_ml,zscore_normalize,1,1,-0.7839542284236887,-0.7316499850527486,-0.3439294644964098,4.1749430615309775,13.542093933951511
whd010___current_self_reported_height_(inches),zscore_normalize,50,0,-0.1852107058703886,-0.182318182335046,-0.1272760780055796,6.4549575418471505,9.313920413525594
whd050___self_reported_weight___1_yr_ago_(pounds),zscore_normalize,36,0,-0.2272431748510792,-0.2063379000195379,-0.1418924803184808,6.304185942321528,10.989532016367493
alq270___#_times_4_5_drinks_in_2hrs/past_12_mos,zscore_normalize,18,0,-0.7518597320602749,-0.7518597320602749,-0.3134505464959353,4.916447265755226,11.29539039376468
bpd035___age_told_had_hypertension,zscore_normalize,17,0,-2.6489461638754292,-0.8798285472871961,-0.104592625276189,6.761487290484374,10.229126594847775
SSMEASQ_measles_igg_antibody_mba_quantitative,zscore_normalize,11,0,-0.7997590974599479,-0.7330359868719737,-0.3172073321538252,4.5570873629045465,10.579859772218652
rhq060___age_at_last_menstrual_period,zscore_normalize,9,0,-0.3548292465909746,-0.3163012963954028,-0.1298164503607876,6.684052923980922,8.154695510182188
whd110___self_reported_weight_10_yrs_ago_(pounds),zscore_normalize,9,0,-0.2440628475092614,-0.22926976385929285,-0.1803500325618532,6.014859175334806,8.118223651025634
LBXSF4SI_tetrahydrofolate_nmol_l,zscore_normalize,7,0,-1.665986712917421,-1.471468322567358,-0.15486110562829986,3.7358031991874845,11.608029653530778
liver_valid_measures,zscore_normalize,7,0,-5.217129289466525,-0.921650015246204,-0.4703091783940983,3.6807176987228303,8.55767505018263
med_count,zscore_normalize,7,0,-0.8770136857086216,-0.8770136857086216,-0.3216482508156146,4.4064322668670215,9.863232611368211
LBDSBUSI_blood_urea_nitrogen_mmol_l,zscore_normalize,6,0,-2.8576196617557943,-1.8240193125254471,-0.1235672590230634,2.8861359594352596,11.781345233022432
LBXLUH_luteinizing_hormone_miu_ml,zscore_normalize,6,0,-2.332973882924786,-1.6794271601417652,-0.1954742603264494,3.671244690331557,11.868048673811764
LBXMPAH_2_n_methyl_pfosa_acetic_acid_ng_ml,zscore_normalize,6,0,-0.5455972446690995,-0.5455972446690995,-0.3710318997858306,4.101938023166272,10.229369803772745
LBXSBU_blood_urea_nitrogen_mg_dl,zscore_normalize,6,0,-2.8540492400639845,-1.824908572177712,-0.1225203635030972,2.8866189752326648,11.782467418846856
URXMUCA_trans_trans_muconic_acid_ng_ml,zscore_normalize,6,0,-0.6037326289741389,-0.6037326289741389,-0.2868550486931175,4.618169326553917,11.284552437920574
LBDBCDSI_blood_cadmium_nmol_l,zscore_normalize,5,0,-0.8373630025489694,-0.7739255836260402,-0.3450552487987632,4.2552899645501805,11.107146323421867
LBDGLUSI_fasting_glucose_mmol_l,zscore_normalize,5,0,-2.88114787659769,-1.2331463221242922,-0.2380943590362862,4.721843815581628,9.68966448905533
LBXBCD_blood_cadmium_ug_l,zscore_normalize,5,0,-0.8374191632696648,-0.7739860507699207,-0.3450500316891493,4.25536666604337,11.10711468759716
LBXVFN_blood_furan_ng_ml,zscore_normalize,5,0,-0.4580920206260147,-0.4580920206260147,-0.3226371096486616,4.295580360038867,10.14998162454915
mcd180m___age_when_told_you_had_thyroid_problem,zscore_normalize,5,0,-2.9566479692393344,-1.952794263171277,-0.1052281379457792,1.8285102740397159,11.789812072240728
mcq025___age_when_first_had_asthma,zscore_normalize,5,0,-0.2007400343490445,-0.2005840090617063,-0.1262735834095495,5.999996619964431,10.999988414924298
LBDANDSI_androstenedione_nmol_l,zscore_normalize,4,0,-2.326394345933537,-1.4422308546024305,-0.1938010978199915,3.46291824306865,9.613281359596105
LBXAND_androstenedione_ng_dl,zscore_normalize,4,0,-2.326168324374377,-1.4406104261988353,-0.194438033309078,3.4577097573887263,9.606936480360233
URXUMO_molybdenum_urine_ug_l,zscore_normalize,4,0,-1.1773648964780177,-1.065474650787071,-0.2279358674273399,3.7026713354200367,11.627625710245104
LBDSTBSI_total_bilirubin_umol_l,zscore_normalize,3,0,-1.5073666166373003,-1.273924723625233,-0.3175230651213848,3.583801788825527,9.37865841807801
LBXNFOS_n_perfluorooctane_sulfonic_acid_ng_ml,zscore_normalize,3,0,-1.3407788702627503,-1.1056704870416465,-0.2935025045236155,4.6544319194973145,9.450690617521222
SSPPMA_ppma_ng_ml,zscore_normalize,3,0,-0.4540257077407899,-0.4540257077407899,-0.2911666121960538,4.685705379106794,11.35006727307945
URXHEM_n_ace_s_2_hydroxyethyl_l_cys_ng_ml,zscore_normalize,3,0,-0.5358289226448748,-0.5358289226448748,-0.277166326807739,4.496407804308041,11.806265865727644
URXMB3_n_a_s_4_hydrxy_2_butenyl_l_cys_ng_ml,zscore_normalize,3,0,-0.6265244391665964,-0.5743017388893771,-0.3447730871358392,4.386066485952618,10.368609666585176
URXNO3_nitrate_urine_ng_ml,zscore_normalize,3,0,-1.5410556767419912,-1.2645492101499205,-0.2260270249296998,4.01757476857515,9.20691272768895
URXPHMA_phenylmercapturic_acid_ng_ml,zscore_normalize,3,0,-0.5028031518501813,-0.5028031518501813,-0.309738248613869,4.815291242817056,11.41537421645818
URXUCD_cadmium_urine_ug_l,zscore_normalize,3,0,-0.902627097246975,-0.8725213874685157,-0.2924200565985739,4.325187428979729,10.546595591038876
WTSSMMPP_surplus_spec_mmrv_weights_prepandemic,zscore_normalize,3,0,-0.912375947758276,-0.912375947758276,-0.2811778195621135,4.169519436572362,9.255089558238463
WTTSTPP_tst_subsample_weights_pre_pandemic,zscore_normalize,3,0,-0.9137114672422064,-0.9137114672422064,-0.2917998317772479,4.249942324861097,9.552667104527613
interview_weight,zscore_normalize,3,0,-0.9552377650081136,-0.8466317239876524,-0.340294526962777,4.26401372962318,8.932798698825929
mec_exam_weight,zscore_normalize,3,0,-1.0015858758717795,-0.9634020559524314,-0.3220642299795451,4.323046407067543,9.253990669460668
LBDBMNSI_blood_manganese_nmol_l,zscore_normalize,2,0,-2.606178184550132,-1.5930300358406617,-0.1749087434014865,3.133161569642853,11.933195934116972
LBDFOTSI_serum_total_folate_nmol_l,zscore_normalize,2,0,-1.7842987748220265,-1.4106104595754216,-0.2197402263605619,3.122730079411414,11.127565286484597
LBDFOT_serum_total_folate_ng_ml,zscore_normalize,2,0,-1.783807081188276,-1.4102294843551006,-0.21792648388337366,3.121085312585549,11.130025648135616
LBDHDDSI_direct_hdl_cholesterol_mmol_l,zscore_normalize,2,0,-3.126817496695692,-1.6646092525772098,-0.1509204097110177,3.141600360667363,9.04545771692258
LBDHDD_direct_hdl_cholesterol_mg_dl,reference_normalize,2,0,-3.1333333333333333,-2.2,-0.7,2.2943333333333307,8.266666666666667
