SEQN,RIAGENDR,RIDAGEYR,RIDRETH3,RIDRETH1,RIDEXPRG,DMDEDUC2,DMDMARTZ,DMDBORN4,INDFMPIR,WTMECPRP,WTINTPRP,SDMVPSU,SDMVSTRA,gender,ethnicity,education,marital_status,pregnancy_status,country_of_birth
117118,2.0,35.0,1.0,1.0,2.0,4.0,1.0,2.0,3.84,31843.942891,29973.062462,2.0,160.0,Female,Mexican American,Some college / AA,Married / Living with partner,Not pregnant,Born in Mexico
117146,2.0,34.0,4.0,4.0,2.0,3.0,3.0,1.0,1.65,31713.984608,29982.433348,1.0,163.0,Female,Non-Hispanic Black,High school / GED,Never married,Not pregnant,Born in 50 US states or DC
117159,2.0,31.0,4.0,4.0,2.0,5.0,3.0,1.0,5.0,27270.141746,25762.488809,1.0,160.0,Female,Non-Hispanic Black,College graduate or above,Never married,Not pregnant,Born in 50 US states or DC
117168,2.0,44.0,7.0,5.0,2.0,3.0,3.0,1.0,1.02,10420.760024,8932.821646,2.0,169.0,Female,Other/Multiracial,High school / GED,Never married,Not pregnant,Born in 50 US states or DC
117174,2.0,34.0,3.0,3.0,2.0,4.0,1.0,1.0,3.5,72779.557215,70458.334264,2.0,152.0,Female,Non-Hispanic White,Some college / AA,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117178,2.0,25.0,1.0,1.0,2.0,4.0,1.0,1.0,0.81,20975.249413,19465.098445,1.0,168.0,Female,Mexican American,Some college / AA,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117184,2.0,42.0,1.0,1.0,3.0,1.0,1.0,2.0,0.45,20301.61239,20264.091332,1.0,154.0,Female,Mexican American,Less than 9th grade,Married / Living with partner,Cannot determine,Born in Mexico
117190,2.0,32.0,6.0,5.0,2.0,4.0,1.0,2.0,1.38,17960.708768,16533.833882,1.0,160.0,Female,Non-Hispanic Asian,Some college / AA,Married / Living with partner,Not pregnant,Born in Mexico
117191,2.0,36.0,1.0,1.0,2.0,5.0,1.0,1.0,3.98,31758.239718,30442.015511,1.0,159.0,Female,Mexican American,College graduate or above,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117195,2.0,26.0,1.0,1.0,2.0,3.0,1.0,1.0,,32377.017165,29521.774951,1.0,168.0,Female,Mexican American,High school / GED,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117209,2.0,35.0,1.0,1.0,2.0,3.0,1.0,1.0,2.17,28032.368088,26385.300703,1.0,152.0,Female,Mexican American,High school / GED,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117212,2.0,30.0,3.0,3.0,2.0,4.0,3.0,1.0,1.72,20014.01501,19547.003394,2.0,151.0,Female,Non-Hispanic White,Some college / AA,Never married,Not pregnant,Born in 50 US states or DC
117244,2.0,44.0,6.0,5.0,2.0,5.0,1.0,2.0,5.0,21065.319975,18309.315481,1.0,169.0,Female,Non-Hispanic Asian,College graduate or above,Married / Living with partner,Not pregnant,Born in Mexico
117278,2.0,33.0,3.0,3.0,2.0,3.0,3.0,1.0,1.73,31791.192204,30710.458354,1.0,150.0,Female,Non-Hispanic White,High school / GED,Never married,Not pregnant,Born in 50 US states or DC
117282,2.0,41.0,1.0,1.0,2.0,3.0,3.0,1.0,2.49,24520.003495,23433.617511,1.0,155.0,Female,Mexican American,High school / GED,Never married,Not pregnant,Born in 50 US states or DC
117287,2.0,44.0,4.0,4.0,2.0,4.0,2.0,1.0,0.77,3866.814783,3812.529493,1.0,167.0,Female,Non-Hispanic Black,Some college / AA,Widowed / Divorced / Separated,Not pregnant,Born in 50 US states or DC
117290,2.0,45.0,3.0,3.0,,4.0,1.0,1.0,2.64,14352.366297,13804.043629,2.0,163.0,Female,Non-Hispanic White,Some college / AA,Married / Living with partner,,Born in 50 US states or DC
117306,2.0,42.0,3.0,3.0,2.0,5.0,1.0,1.0,5.0,39713.918737,35182.115458,2.0,151.0,Female,Non-Hispanic White,College graduate or above,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117308,2.0,36.0,4.0,4.0,2.0,4.0,3.0,1.0,0.12,6683.443131,6211.605567,2.0,152.0,Female,Non-Hispanic Black,Some college / AA,Never married,Not pregnant,Born in 50 US states or DC
117313,2.0,32.0,3.0,3.0,2.0,5.0,2.0,1.0,2.34,83478.923474,80264.569127,1.0,151.0,Female,Non-Hispanic White,College graduate or above,Widowed / Divorced / Separated,Not pregnant,Born in 50 US states or DC
117318,2.0,34.0,6.0,5.0,3.0,5.0,1.0,2.0,4.27,5.397605346934028e-79,7273.298453,2.0,152.0,Female,Non-Hispanic Asian,College graduate or above,Married / Living with partner,Cannot determine,Born in Mexico
117320,2.0,34.0,2.0,2.0,2.0,4.0,1.0,1.0,3.33,24832.271745,23777.085972,1.0,165.0,Female,Other Hispanic,Some college / AA,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117323,2.0,33.0,1.0,1.0,3.0,1.0,3.0,2.0,0.92,11406.25066,10925.673152,1.0,152.0,Female,Mexican American,Less than 9th grade,Never married,Cannot determine,Born in Mexico
117346,2.0,43.0,3.0,3.0,3.0,1.0,2.0,1.0,1.72,5.397605346934028e-79,14612.091816,1.0,149.0,Female,Non-Hispanic White,Less than 9th grade,Widowed / Divorced / Separated,Cannot determine,Born in 50 US states or DC
117351,2.0,32.0,3.0,3.0,2.0,3.0,3.0,1.0,,17801.96928,16774.879844,2.0,151.0,Female,Non-Hispanic White,High school / GED,Never married,Not pregnant,Born in 50 US states or DC
117364,2.0,37.0,1.0,1.0,2.0,4.0,2.0,2.0,1.26,12915.767962,12089.887364,2.0,152.0,Female,Mexican American,Some college / AA,Widowed / Divorced / Separated,Not pregnant,Born in Mexico
117371,2.0,44.0,2.0,2.0,2.0,4.0,1.0,1.0,1.36,16919.938186,17242.715908,1.0,168.0,Female,Other Hispanic,Some college / AA,Married / Living with partner,Not pregnant,Born in 50 US states or DC
