original_column,source_file,label,readable_name_suggested,readable_name_final,keep_status,notes
SSBPPP,P_SSFR.xpt,4(tert-butyl)phenyl)phenyl phosphateug/L,4_tert_butyl_phenyl_phenyl_phosphateug_l,,review,
SSBPPPL,P_SSFR.xpt,4(tert-butyl)phenyl)phenyl phosphate cd,4_tert_butyl_phenyl_phenyl_phosphate_cd,,review,
WTSSMMPP,P_SSMMRV.xpt,Surplus spec MMRV weights prepandemic,surplus_spec_mmrv_weights_prepandemic,,review,
SSMEASQ,P_SSMMRV.xpt,Measles IgG Antibody MBA Quantitative,measles_igg_antibody_mba_quantitative,,review,
SSMEASQC,P_SSMMRV.xpt,Measles IgG Antibody MBA Comment,measles_igg_antibody_mba_comment,,review,
SSMEASI,P_SSMMRV.xpt,Measles IgG Antibody MBA Interpretation,measles_igg_antibody_mba_interpretation,,review,
SSMUMPQ,P_SSMMRV.xpt,Mumps IgG Antibody MBA Quantitative,mumps_igg_antibody_mba_quantitative,,review,
SSMUMPQC,P_SSMMRV.xpt,Mumps IgG Antibody MBA Comment,mumps_igg_antibody_mba_comment,,review,
SSMUMPI,P_SSMMRV.xpt,Mumps IgG Antibody MBA Interpretation,mumps_igg_antibody_mba_interpretation,,review,
SSRUBQ,P_SSMMRV.xpt,Rubella IgG Antibody MBA Quantitative,rubella_igg_antibody_mba_quantitative,,review,
SSRUBQC,P_SSMMRV.xpt,Rubella IgG Antibody MBA Comment,rubella_igg_antibody_mba_comment,,review,
SSRUBI,P_SSMMRV.xpt,Rubella IgG Antibody MBA Interpretation,rubella_igg_antibody_mba_interpretation,,review,
SSVARMQ,P_SSMMRV.xpt,Varicella IgG Antibody MBA Quantitative,varicella_igg_antibody_mba_quantitative,,review,
SSVARMQC,P_SSMMRV.xpt,Varicella IgG Antibody MBA Comment,varicella_igg_antibody_mba_comment,,review,
SSVARMI,P_SSMMRV.xpt,Varicella IgG Antibody MBA Interpret,varicella_igg_antibody_mba_interpret,,review,
SSVARGI,P_SSMMRV.xpt,Varicella gpELISA Interpretation,varicella_gpelisa_interpretation,,review,
SSVARINT,P_SSMMRV.xpt,Varicella Overall Interpretation,varicella_overall_interpretation,,review,
WTSSAPP,P_SSUVCM.xpt,Surplus specimen A weights pre-pandemic,surplus_specimen_a_weights_pre_pandemic,,review,
SSPPMA,P_SSUVCM.xpt,PPMA (ng/mL),ppma_ng_ml,,review,
SSPPMALC,P_SSUVCM.xpt,PPMA Cmt code,ppma_cmt_code,,review,
SSMMAC,P_SSUVCM.xpt,N-Acetyl-S-methyl-L-cysteine (ng/mL),n_acetyl_s_methyl_l_cysteine_ng_ml,,review,
SSMMACLC,P_SSUVCM.xpt,N-Acetyl-S-methyl-L-cysteine Cmt code,n_acetyl_s_methyl_l_cysteine_cmt_code,,review,
LBXTC,P_TCHOL.xpt,Total Cholesterol (mg/dL),total_cholesterol_mg_dl,,review,
LBDTCSI,P_TCHOL.xpt,Total Cholesterol (mmol/L),total_cholesterol_mmol_l,,review,
LBXTFR,P_TFR.xpt,Transferrin receptor (mg/L),transferrin_receptor_mg_l,,review,
LBDTFRSI,P_TFR.xpt,Transferrin receptor (nmol/L),transferrin_receptor_nmol_l,,review,
WTSAFPRP__p_trigly,,,,,review,
LBXTR,P_TRIGLY.xpt,Triglyceride (mg/dL),triglyceride_mg_dl,,review,
LBDTRSI,P_TRIGLY.xpt,Triglyceride (mmol/L),triglyceride_mmol_l,,review,
LBDLDL,P_TRIGLY.xpt,"LDL-Cholesterol, Friedewald (mg/dL)",ldl_cholesterol_friedewald_mg_dl,,review,
LBDLDLSI,P_TRIGLY.xpt,"LDL-Cholesterol, Friedewald (mmol/L)",ldl_cholesterol_friedewald_mmol_l,,review,
LBDLDLM,P_TRIGLY.xpt,"LDL-Cholesterol, Martin-Hopkins (mg/dL)",ldl_cholesterol_martin_hopkins_mg_dl,,review,
LBDLDMSI,P_TRIGLY.xpt,"LDL-Cholesterol, Martin-Hopkins (mmol/L)",ldl_cholesterol_martin_hopkins_mmol_l,,review,
LBDLDLN,P_TRIGLY.xpt,"LDL-Cholesterol, NIH equation 2 (mg/dL)",ldl_cholesterol_nih_equation_2_mg_dl,,review,
