SEQN,umap_x,umap_y
109266.0,12.841227,12.32856
109267.0,15.824965,7.99229
109268.0,15.3702135,7.60324
109271.0,16.73945,13.89904
109273.0,17.30574,10.367516
109283.0,15.069527,13.901179
109284.0,18.744469,10.26403
109286.0,13.41823,11.317074
109291.0,13.909318,12.018343
109292.0,14.8106985,13.697059
109293.0,16.752214,11.194486
109295.0,17.78745,13.3342085
109297.0,17.433657,9.111059
109300.0,19.697912,10.9531145
109303.0,19.395433,7.086364
109305.0,18.63171,13.256825
109307.0,19.76254,10.21023
109311.0,16.846869,10.091697
109312.0,19.99012,10.45135
109313.0,17.254253,14.041272
109315.0,18.849003,8.479929
109316.0,4.480867,11.871201
109317.0,16.08058,9.250981
109319.0,15.792479,8.450541
109321.0,14.492786,8.42361
109322.0,17.56648,12.413122
109323.0,18.785156,7.948228
109324.0,14.42512,13.410307
109326.0,17.852674,11.011484
109327.0,17.738476,13.818065
109331.0,-5.2121425,2.439862
109332.0,16.284523,9.905197
109333.0,17.131058,11.995531
109334.0,18.257565,13.618608
109335.0,14.744449,12.653606
109336.0,15.78152,10.14156
109337.0,14.315326,12.230888
109340.0,15.334809,10.710138
109342.0,14.846967,12.907097
109346.0,13.956591,9.1194
109348.0,18.541992,13.940995
109349.0,4.717209,11.298026
109350.0,16.42033,12.768274
109351.0,18.353882,13.400434
109353.0,18.680302,12.832987
109359.0,16.10168,8.471242
109363.0,16.516752,9.567407
109365.0,19.66947,10.96098
109371.0,17.47082,13.590741
109373.0,13.2277355,11.233765
109376.0,15.872835,8.279363
109377.0,4.328282,11.0496025
109378.0,19.237988,9.46934
109389.0,18.277052,13.9034
109390.0,15.0387535,12.240475
109391.0,15.922871,13.420439
109394.0,13.253717,10.92648
109395.0,20.101423,11.061782
109396.0,17.605429,9.897502
109397.0,15.053176,11.242892
109403.0,16.48114,9.718576
109404.0,13.017552,10.756017
109405.0,-5.210227,2.441519
109407.0,16.516846,9.218546
109408.0,14.235173,12.189496
109411.0,18.678173,13.597133
109413.0,17.250288,13.758469
109414.0,4.683205,11.831514
109415.0,15.724441,11.971603
109416.0,15.62112,13.927582
109423.0,4.498725,10.52424
109426.0,17.93798,13.339775
109429.0,17.362598,8.607784
109431.0,9.171618,10.640387
109432.0,18.56428,12.549064
109435.0,15.90284,12.39237
109439.0,19.16971,11.335145
109440.0,16.052996,6.8706064
109441.0,19.41253,7.1576524
109444.0,16.247093,7.576327
109447.0,19.111603,7.8856487
109450.0,4.4011855,10.458056
109451.0,14.8808975,10.489515
109454.0,14.255325,9.043
109455.0,19.294384,9.761053
109458.0,4.506967,10.140712
109459.0,14.820592,9.647871
109464.0,16.131716,9.323568
109466.0,17.696737,10.076328
109467.0,14.53511,8.582366
109468.0,-5.213426,2.441455
109472.0,15.815156,10.010524
109473.0,14.829074,8.050715
109478.0,16.63375,9.018129
109480.0,14.050661,9.466757
109481.0,18.298275,13.008638
109482.0,14.882589,13.317494
109485.0,17.203335,12.197461
109486.0,17.446371,13.856469
109488.0,4.3694854,11.236634
109495.0,15.821196,12.623595
109496.0,14.845063,12.509503
109497.0,16.809637,13.123296
109501.0,16.34644,11.750462
109502.0,15.759447,10.067693
